crh_Latn,ukr
Vitse baş nazir İrına Vereşçuk Save the Children in Ukraineniñ vekillerinen körüşti,Віцепрем’єр-міністр Ірина Верещук провела зустріч із делегацією Save the Children in Ukraine
Bu sene boyunca Harkiv vilâyetiniñ deyerli 1 million sakini halqara gumanitar yardım aldı,Протягом поточного року майже 1 мільйон мешканців Харківщини отримали міжнародну гуманітарну допомогу
"“Ellerini qavuştırmaymız ve çoq şey yapmağa yetiştiremiz”, – Anastasiya Zakrevska","«Ми не сидимо склавши руки й багато чого встигаємо», – Анастасія Закревська, Донецьк"
İşğalden azat etilgen topaqlardan telekom şirketşeri internetni yañıdan tamin etmek içün grant ala bilirler,Телеком-компанії із деокупованих територій можуть отримати гранти для відновлення інтернету
Esir etilgen insanlarğa devlet yardımını ödemek içün Ükümet daa 180 million grivn ayırdı,Уряд виділив ще понад 180 мільйонів гривень на виплати держдопомоги полоненим
Esir etilgen olaraq tanıma meseleleri eyyeti: işniñ şimdiki neticeleri,Комісія з питань встановлення факту полону: проміжні підсумки роботи
İşğalden azat etilecek topraqlarda çalışmaları içün uquq qorçalayıcı ve makeme organları hazdimleriniñ yedegini şekillendirmek içün ğayretler köstermek kerekmiz,"Маємо докласти зусиль, щоб сформувати резерв працівників правоохоронних та судових органів для роботи на деокупованих територіях"
"2024 senesi DAK içün imtiyazlı mesken kreditleri programmasına 877,5 million grivna üleştirilir","У 2024 році буде спрямовано 877,5 млн гривень на програму пільгових житлових кредитів на житло для ВПО"
"Umumen bu sene DAKni destek etici programmalarğa 82,7 milliard grivna ayırılacaq","Загалом цьогоріч фінансування програм для підтримки ВПО передбачає суму понад 82,7 мільярда гривень"
Ukrainanıñ işğalden azat etilgen topraqlarda devlet organlarınıñ faaliyetini yañıdan yaratuv meseleleri oturışı keçirildi,Відбулась нарада з питань відновлення діяльності державних органів на деокупованих територіях України
Cebege yaqın ve işğalden azat etilgen topraqlardan medialar 2 millionğa qadar grant ala bilirler,Медіа із прифронтових та деокупованих територій можуть отримати грант до 2 мільйонів гривень
Ukrainağa gumanitar yardımğa ABden 110 million yevro,110 мільйонів євро від ЄС на гуманітарну допомогу Україні
Vitse baş nazir İrına Vereşçuk: qorçalayıcılarnıñ aileleri içün kâğıt vesiqalarını aluv ceryanını pek azlaştırmalımız,Віцепремʼєрка Ірина Верещук: маємо кардинально зменшити паперову тяганину для родин захисників
"Qurucılıq tehnika, azat etilgen topraqlarnı yañıdan qurmaq içün müim bir yardımdır",Будівельна техніка – важлива допомога для відновлення звільнених територій
Vitse baş nazir İrına Vereşçuk bala bağçaları çalışmağan bölgelerde küçük balalarnen DA ailelerge yardım ödemege devam etmege teklif etti,"Віцепрем’єрка Ірина Верещук запропонувала продовжити виплати ВПО родинам із малолітніми дітьми у регіонах, де не працюють дитсадки"
Ukraina ve Azerbaycan arasında strategik ortaqlıqnıñ yañı basamağı şekillene,Між Україною та Азербайджаном формується новий етап стратегічного партнерства
Devlet içinde alınğan kişilerniñ iş tapmaları içün devlet qoşma çarelerni qıdıra,Держава шукає додаткові можливості для працевлаштування внутрішніх переселенців
DAKniñ cemaatqa inetgartsiyasını yahşılaşturmaq içün grant leyhalar konkursı ilân etildi,Оголошено грантовий конкурс проєктів для покращення інтеграції ВПО у громадах
Bizim ortaqlarımıznıñ iqtisadiy ve arbiy destegi Ukrainağa bu qış yaşamağa yardım etecek,Економічна та військова підтримка наших партнерів допоможе Україні успішно пройти найближчу зиму
Donetsk vilâyetinde Oşçadbanknıñ daa bir mobil bölügi çalışmağa başladı,На Донеччині запрацювало ще одне мобільне відділення Ощадбанку
"“Menim işim – ukrainalılarğa yardım etmektir”, – Tetâna Çernikova, Donetsk","«Моя робота – допомагати українцям», – Тетяна Чернікова, Донецьк"
"Boş ayda DAK ödemelerine endi 5,8 milliard grivna ayırıldı","На виплати ВПО у листопаді вже спрямовано понад 5,8 мільярда гривень"
Danimarka 2025 senesi saban ayına qadar ukrainalılarnıñ yaşayış izinlerini uzattı,Данія продовжить дозволи на проживання українців до березня 2025 року
Litvaniyadan Ukraina içün eki million yevro,Два мільйони євро Україні від Литви
Boş ayda DAK ödemelerine para vaqtında ayırıldı,Виплати ВПО у листопаді будуть профінансовані вчасно
DAK Şuralarınıñ başları ihtisasiy İdare ştabınıñ terkibine qatılacaqlar,Голови Рад ВПО тепер входитимуть до складу профільного Коордштабу
Ukrainağa diqqat celp etip tutmaq içün daa çoq ğayret kerek,Утримання уваги до України потребує збільшення зусиль
DAKni destek astyapısını teşkil etmek,Організаційна інфраструктура підтримки ВПО
"Bugünden e-İş insanı servisi yardımınen biznes, hızmet paketini ala bilir","Уряд ухвалив рішення, яке дозволить проєкту е-Підприємець функціонувати на постійній основі"
Lviv vilâyetinden deyerli 1800 DAK işnen temin etildi,Майже 1800 ВПО на Львівщині вже забезпечені роботою
Müessiselerarası Devet akimiyetini yañıdan yaratıv ve İAETnıñ ealisiniñ reintegratsiyası strategiyasını azırlamaq meseleleri iş grupası teşkil etildi,Утворено міжвідомчу робочу групу з питань розроблення Стратегії відновлення державної влади та реінтеграції населення ДОТ
İrına Vereşçuk Dünya bankınıñ vekillerinen körüşti,Ірина Верещук зустрілася з представниками Світового банку
rfnıñ silâlı tecavucı şartlarında halqara gumanitar uquq meselesi ayrıca aktual ve müimdir,Питання міжнародного гуманітарного права особливо актуальне і важливе в умовах збройної агресії рф
Orta ğayretlernen – statuslı balalar içün oñaytlı şartlar,Спільними зусиллями – комфортні умови для статусних дітей
"Orta küz ayında tahliye etilgen insanlarğa para yardımını ödemek içün ReNazirligi 20,9 million grivna üleştirdi","У жовтні Мінреінтеграції перерахувало 20,9 мільйона гривень на грошову допомогу евакуйованим"
Bugün “Katerına Osadçanıñ teşkilâtı” hayriye teşkilâtı açıldı,Сьогодні відбулося відкриття благодійної організації «Фундація Катерини Осадчої»
"Ğalebe qazanmaq içün hay-tek devlet olmalımız, – DEV Challenge IT yarışları tedbirinde İrına Vereşçuk","Щоб перемогти, маємо стати хай-тек державою, – Ірина Верещук на заході ІТ-змагання DEV Challenge"
Orta küz ayında Milliy malümat bürosı eñ az 15 biñ hitap aldı,У жовтні до Національного інформаційного бюро надійшло понад 15 тисяч звернень
"“Qorqmaq kerekmey, areket etmek kerek!” – Diana Buhrova, Dnipro","«Не варто боятися, варто діяти!» – Діана Бугрова, Дніпро"
"2023 senesiniñ 9 ayı devamında gumanitar teşkilâtlar, doquz million ukrain vatandaşını destek ettiler",Протягом 9 місяців 2023 року гуманітарні організації забезпечили підтримкою дев’ять мільйонів українців
Cenk başlağan soñ Ukraina ecnebiy diplomatik vekâletleri deyerli 20 biñ ukrainalığa şeadetname berdiler,Від початку війни закордонні диппредставництва України видали посвідчення на повернення майже 20 тисячам українців
Umumiy ukrain DAK Şuraları forum bitti: neticeler,Завершився Всеукраїнський форум Рад ВПО: підбиваємо підсумки
Ukrainada cemaatnı destek etmek – Avropa iqtisadiy ve içtimaiy eyyetiniñ faaliyetiniñ prioritetlerinden biridir,Підтримка громадянського суспільства в Україні – один із пріоритетів діяльності Європейського економічного та соціального комітету
Orta küz ayında ReNazirligi esir etilgen insanlarnıñ ailelerine 60 million grivna ödedi,У жовтні Мінреінтеграції перерахувало 60 мільйонів гривень на виплату державної допомоги сім’ям полонених
İrına Vereşçuk: 529 DAK Şurası – bu tür qısqa müddette yüksek bir köstergiçtir,Ірина Верещук: 529 Рад ВПО – це високий показник за такий короткий проміжок часу
İşğalden azat etilgen Mıkolayiv vilâyeti: yañıdan quruv devam ete,Деокупована Миколаївщина: триває відновлення
Orta küz ayında ReNazirliginiñ sıcaq hatlarına deyerli 24 biñ hitap yollandı,У жовтні на гарячі лінії Мінреінтеграції надійшло понад 24 тисячі звернень
Orta küz ayında “Evge yol” leyhası çerçivesinde 17 bala qaytarıldı,У жовтні в межах проєкту «Шлях додому» було повернуто 17 дітей
Bugünden DAK ödemeleri ailege ödenir,Виплати ВПО тепер призначатимуться на сімʼю
Birinci Umumiy ukrain DAK Şuraları başlandı,Стартував перший Всеукраїнський форум Рад ВПО
Yañı veteran siyaseti kontseptsiyasını taqdim ettiler,Відбулася презентація Концепції нової ветеранської політики
"Orta küz ayında DAK ödemelerine endi 5,6 milliard grivna ayırıldı","На виплати ВПО у жовтні вже спрямовано понад 5,6 млрд гривень"
"Luhansk topraq cemaatı ve başqa zarar körgen vilâyetler içün Ükümet daa 1,5 mlrd grivna ayırdı","Уряд додатково виділив 1,5 млрд гривень для тергромад Луганської й інших постраждалих областей"
Sürgün etilgen ukrain balalarını qaytarmaq içün halqara devletler birleşmesini teşkil etmege teklif etildi,Запропоновано створити міжнародну коаліцію держав для повернення депортованих українських дітей
Deyerli 2200 insan Ukrainanı yañıqan qurmağa istey,Майже 2200 людей хочуть приєднатися до відновлення України
"“Menim eñ sevimli işimden küç alam”, – Diana Loginova, Harkiv","«Моя улюблена справа – моє джерело сили», – Діана Логінова, Харків"
"Smart-ülke olmalımız, – “Sikorsky Challenge 2023” XII. innovatsiya leyhaları festivaliniñ açılışında İrına Vereşçuk","Маємо бути смарткраїною, – Ірина Верещук на відкритті XII Фестивалю інноваційних проєктів «Sikorsky Challenge 2023»"
Devam etken (bitken) arbiy areketler ya da vaqtınca işğal etilgen topraqlar cedveliniñ ingliz versiyası bar,"Перелік територій, на яких ведуться (велися) бойові дії або тимчасово окупованих рф, тепер доступний англійською"
Ukraina 50 ölgen mudafaacını qaytardı,Україна повернула 50 полеглих оборонців
Kelecek afta Kıyivde birinci kere Umumiy ukrain DAK Şuraları forumı olacaq,Всеукраїнський форум Рад ВПО вперше відбудеться наступного тижня в Києві
Ukrain yazı ve tili künü,День української писемності та мови
3%-li ipoteka: daa 130 devlet içinde alınğan aile imtiyazlı kreditini ala bilir,Іпотека під 3%: ще 130 родин ВПО зможуть оформити пільгові кредити на житло
Harkiv vVAM Kupyansk rayonınıñ 10 meskün yerinden balalarnı macburen tahliye etmege planlaştırır,Харківська ОВА планує примусову евакуацію дітей із 10 населених пунктів Куп’янського району
Herson vilâyetiniñ işğalden azat etilgen topraqları nasıl yañıdan yaraılır,Як відновлюються звільнені території Херсонщини
Telükeli rayonlardan köçüv ükümet programması çerçivesinde 840 müessise tahliye etti,За урядовою програмою релокації з небезпечних районів евакуювалося 840 підприємств
"Cemaat, telükeli rayonlardan tahliye etilip köçken balalar aqqında tüşünmeli","Приймаючі громади мають подбати про дітей-переселенців, яких евакуюють із небезпечних районів"
ReNazirliginde Esirlik tanıma meseleleri eyyetiniñ daa bir oturışı keçirildi,У Мінреінтеграції відбулося чергове засідання Комісії з питань встановлення факту полону
Kıyiv vilâyetiniñ Tarasivka köyünde “Hansen şееrçikleri” birinci nevbeti açıldı,У селі Тарасівка Київської області відкрили першу чергу «Містечка Хансена»
"Ukraina, ABden daa 1,5 millirad yevro yatırım aldı","Україна отримала ще 1,5 мільярда євро траншу від ЄС"
DAK meseleleri idare ştabınıñ buçuq senelik işi aqqında esabat beremiz,Звітуємо про пів року роботи Координаційного штабу з питань ВПО
Herson vilâyetiniñ bir qaç meskün yerinde balalarnıñ mecburiy tahliyesi ilâñ etildi,Через безпекову ситуацію у низці населених пунктів Херсонщини запроваджено примусову евакуацію дітей
Donetsk vilâyetiniñ sekiz meskün yerinde balalarnıñ mecburiy tahliyesi ilâñ etildi,У восьми населених пунктах Донеччини оголошено примусову евакуацію дітей
“Nova poşta” Harkiv vilâyetinde ölgen işçilerini ürmetnen añdı,«Нова пошта» вшанувала пам’ять загиблих під Харковом співробітників
2023 senesinden berli eñ az 173 biñ ukrain vatandaşı yañı iş yerlerini taptı,З початку 2023 року нові робочі місця знайшли понад 173 тисячі українців
Tolu miqyaslı tecavuznıñ başlanğıcından berli rusiye 2500 ekologiya cinayetini yaptı,Від початку повномасштабного вторгнення росія вчинила 2500 екологічних злочинів
"“Çalışqan qollar asla teslim olmaycaq”, – Olha Yehorova","«Зайняті руки ніколи не опустяться», – Ольга Єгорова, Маріуполь"
"Avropa eyyeti, Ukraina Energetika destek fonduna 50 million yevro ayıracaq",Єврокомісія внесе до Фонду підтримки енергетики України понад 50 мільйонів євро
Bütün Ukraina boyunca 500 DAK şurası teşkil etildi,По всій Україні вже створено понад 500 рад ВПО
Cebege yaqın rayonlarda malümat boşluğını qorçalamaq,Захист інформаційного простору у прифронтових районах
Endi eñ az 3 biñ DAK devletten oquv vauçerlerini aldı,Понад 3 тисячі ВПО вже отримали ваучери на навчання від держави
Mesken qıdırğan ukrain vatandaşları içün AB vaqtınca qorçalav müddetini uzattı,ЄС продовжив тимчасовий захист для українських шукачів притулку
Müessiselerarası devlet içinde alınğan kişilerge iş berüv meseleri oturışı keçirildi,Відбулася міжвідомча нарада з питань працевлаштування внутрішніх переселенців
"Eñ az 14 biñ ukrain vatandaşı, devletten oquv vauçerlerini aldı",Понад 14 тисяч українців отримали ваучери на навчання від держави
Çiçek ayından berli mecburiy tahliye çerçivesinde Ukrainanıñ telükesiz bölgelerine 856 bala köçti,З квітня у межах примусової евакуації до безпечних регіонів України переміщено 856 дітей
Ükümet 2027 senesine qadar tek İslâat planını azırlay,Уряд розробляє єдиний План реформ до 2027 року
Ukrainağa yardım etmek içün Avropa parlamenti 50 miliard yevro ayırdı,Європарламент виділив 50 мільярдів євро на допомогу Україні
"Sene devamında yeOselâ programması çerçivesinde eñ az 3,6 biñ aile imtiyazlı ipoteka aldı","За рік пільгову іпотеку за програмою єОселя отримали понад 3,6 тисячі родин"
Berim ayında ReNazirligi esir etilgen insanlarnıñ ailelerine eñ az 49 million grivna ödedi,У вересні Мінреінтеграції перерахувало понад 49 мільйонів гривень на виплату державної допомоги сім’ям полонених
"İtaliya, Odesa vilâyetini yañıdan quruv ceryanına qatılacaq",Італія долучиться до відбудови Одещини
Berim ayında ReNazirliginiñ sıcaq hatlarına deyerli 45 biñ hitap yollandı,У вересні на гарячі лінії Мінреінтеграції надійшло майже 45 тисяч звернень
Ukrainada Balalar meseleleri devlet hızmeti teşkil etildi,В Україні створили Державну службу у справах дітей
Qış mevsiminde ukrainalılarnı destek etmek içün BMT 123 milllon dollar ayıracaq,ООН виділяє 123 мільйони доларів на зимову підтримку українців
İş qıdırmaq içün DAK ne yerge hitap ete bilirler,Куди ВПО звертатися для пошуку роботи
Kıyiv vilâyetinde 112 acele hızmet çalışmağa başladı,Екстрена служба 112 запрацювала у Київській області
"“Yañı başlanğıç, qolay bir şey degil, amma kereklidir” – Oleksiy Tımçuk, Herson","«Новий старт – це непросто, але необхідно» – Олексій Тимчук, Херсон"
"Er bir nazirlik, işğalden azat etilecek topraqlarda çalışmaları içün hadimler yedegini yaratmalı – İrına Vereşçuk",Кожне міністерство має створити резерв працівників для роботи на деокупованих територіях
"İrına Vereşçuk, Ükümetleratası ukrain-moldova ticaret-iqtisadiyat işdeşligi meseleleri eyyetiniñ oturışını keçirdi",Ірина Верещук провела нараду за результатами роботи Міжурядової українсько-молдовської комісії з питань торговельно-економічного співробітництва
Vitse baş nazir İrına Vereşçuknıñ başlığınen Bring Kids Back UA areketler planını yerine ketirüvnen bağlı oturış keçirildi,Під головуванням Віцепрем’єр-міністра Ірини Верещук відбулася нарада щодо реалізації Плану дій Bring Kids Back UA
Bir seneden çoq Cenk vaziyeti şaraitinde ealiniñ mecburiy tahliyesini keçirüv meseleleri idare ştabı çalışa,Вже більше року працює Координаційний штаб з питань проведення обов’язкової евакуації населення в умовах воєнного стану
Kiyivde halqara Ruhiy sağlıq forumı devam ete,У Києві триває міжнародний Форум із психічного здоров’я
"Tolu miqyaslı cenk başlağan soñ Ükümet ukrainalılarğa mesken tazminatları, irişilir kreditler ve grantlarğa para üleştirmekteder","Від початку повномасштабної війни Уряд спрямовує кошти на житлові компенсації, доступні кредити та гранти українцям"
Vitse baş nazir İrına Vereşçuknıñ başlığınen İdare ştablarınıñ işi aqqında malümat,Інформація про роботу Координаційних штабів під головуванням Віцепрем’єрки Ірини Верещук
Esir etilgen insanlarğa devlet yardımını ödemek içün ükümet 180 million grivna ayırdı,Уряд виділив понад 180 мільйонів гривень на виплату державної допомоги полоненим
"AQŞ, 8 milliard dollarlıq rus aktivlerini blokladılar",США заморозили російські активи на 8 мільярдів доларів
"rusiyede Ukraina, sürgün etilgen ukrain balalarınıñ qaytarılmalarına yönelgen malümat kampaniyasını başlattı","Україна запустила інформкампанію на території росії, спрямовану на повернення депортованих українських дітей"
Bizim maqsadımız – ukrainalılarnıñ ruhiy sağlığınıñ küçüni quvetleştirmektir,Наша мета – зміцнення ментального здоров’я українців
"AB, ukrainalılar içün vaqtınca qorçalav müddetini uzattı",ЄС продовжи термін дії тимчасового захисту для українців
"Ükümet, işğalden azat etilecek topraqlarda çalışmaları içün hadimler yedegine ariza berüv ceryanını mükemmelleştirdi",Уряд вдосконалив процес подачі заяв до кадрового резерву для роботи на деокупованих територіях
Devam etken (bitken) arbiy areketler ya da vaqtınca işğal etilgen topraqlarnıñ cedveline deñişmeler kirsetildi,"Затверджено зміни до Переліку територій, на яких ведуться (велися) бойові дії або тимчасово окупованих"
Ukraina ve Moldova Cumhuriyetiniñ ticaret-iqtisadiy meseleleri ükümet vekilleri körüştiler,Відбулася зустріч урядових делегацій України та Республіки Молдова з торговельно-економічних питань
"Bizim missiyamız, köçip kelgen insanlarnı ve cenkten zarar körgen er kesni deste etmektir, dep İrına Vereşçuk","Наша місія – у підтримці переселенців і всіх, хто постраждав від війни, – Ірина Верещук"
HAEA rusiyeni ZAESnı Ukrainanıñ kontrolına acelen qaytarmağa çağıra,МАГАТЕ закликає росію негайно повернути ЗАЕС під повний контроль України
ReNazirlig Kremlniñ esiri Edem Bekirovğa Levko Lukyanenko adına stipendiyanı bermege teşebbüs ete,Мінреінтеграції ініціює надання стипендії імені Левка Лук’яненка бранцю кремля Едему Бекірову
Rus propagandasına qarşılıq köstermek içün Ukrainada “Qırım sesi” kanalı çalışa,В Україні діє канал «Голос Криму» задля протидії російській пропаганді
"Ecnebiy ülkelerdeki ukrainalılar, qaçaqlar degiller. Olar, ülkeden ketmege mecbur qalğan insanlardır, – DMHniñ başı","Українці за кордоном – не біженці. Це люди, які вимушено виїхали з країни, – голова ДМС"
Ukraina qorçalayıcıları künü hayırlı olsun!,З Днем захисників і захисниць України!
Sene devamında Harkiv ve Herson vilâyetleriniñ işğalden azat etilgen topraqlarından eñ az 67 biñ insan tahliye etildi,За рік із деокупованих територій Харківщини та Херсонщини евакуйовано понад 67 тисяч людей
"İçtimaiy teşkilâtlarnıñ vekillerinen beraber ükümetçiler, İAETda develt akimiyetini yañıdan yaratuv ve ealisiniñ reintegratsiya strategiyasını muzakere ettiler",Урядовці спільно з представниками громадських організацій обговорили Стратегію відновлення державної влади та реінтеграції населення ДОТ
Donetsk vilâyteiniñ sakinleriniñ Ukrainanıñ telükesiz bölgelerine tahliyesi devam ete,Триває евакуація мешканців Донеччини до безпечних регіонів України
Qış başlamadan evel cebege yaqın bölgelerniñ sakinlerini odunnen temin etmelimiz,До зими маємо забезпечити дровами мешканців прифронтових регіонів
"Litvaniyada tahminen 15 biñ ukrainalı, Halqara migratsia teşkilâtından yardım aldı",Близько 15 тисяч українців у Литві отримали допомогу від Міжнародної організації з міграції
Vatandaş alı aktlarınıñ devlet sicilinden vesiqalarnı nasıl almaq mümkün,Як дистанційно замовити документи з Держреєстру актів цивільного стану
"Vaqtınca işğal etilgen topraqlarda bala ğayıp olsa, ne yapmaq kerek","Як діяти, якщо на тимчасово окупованій території зникла дитина"
"Olena Zelenskanıñ teşebbüsi, ukrainalılarğa yardım etmek içün 1 million AQŞ dollarını topladı",Фундація Олени Зеленської отримала 1 мільйон доларів США на допомогу українцям
İrına Vereşçuk Ukrainada gumanitar qarşılıqnen bağlı halqara körüşüvde iştirak etti,Ірина Верещук взяла участь у міжнародній зустрічі з гуманітарного реагування в Україні
Berim ayında 9 siyasiy mabüs Levko Lukyanenko adına stidentiyanı aldı,Стипендії імені Левка Лук’яненка за вересень отримали 9 політв’язнів
"Cenk vaqtında mektepten tışlıq, balalar ve aileleriniñ ayat dayanıqlığını arttırmalı",Під час війни позашкілля має посилювати життєстійкість дітей та їхніх родин
"Yaponiyadan 21,8 milliard grivna grant parası Ukrainanı yañıdan quruv leyhalarına üleştirilecek","На проєкти відновлення України спрямують 21,8 мільярда гривень грантових коштів від Японії"
DAK bütün uquqiy hızmetler türlerini bedava olaraq ala bilirler,ВПО можуть безкоштовно отримати усі види правничих послуг
DAK içün uquqiy yardım online platforması çalışa,Працює онлайн-платформа правової допомоги для ВПО
"“Men öz işime ve ülkemizge inanam”, – Katerına Ptaha, Lugansk","«Я вірю у свою справу і в нашу країну», – Катерина Птаха, Луганськ"
"Eñ büyük baht, aileniñ bir yerde olmasıdır!",Найбільше щастя – коли родина разом!
Esirlikten azat etilgen daa 18 ukrain qadını Lehistanğa reabilitatsiyanı keçirdi,Ще 18 звільнених з полону українок пройшли реабілітацію у Польщі
Qış mevsiminde bizim vatandaşlarımıznıñ zayıf gruppalarınıñ destegine diqqat celp etmelimiz,Треба зосередити увагу на зимовій підтримці вразливих груп наших громадян
Qırım işğali devrinde insan aqları eñ az 5 biñ kere bozuldı,Від початку окупації Криму зафіксовано понад 5 тисяч порушень прав людини
Ukrainada işğalden azat etilgen topraqlardan qadınlar içün bedava IT-kurs başlaycaq,В Україні стартує безоплатний IT-курс для жінок із деокупованих територій
DAK içün faydaı çat-botlar,Добірка корисних чат-ботів для ВПО
DAKniñ medeniy integratsiya leyhalarına 5000 yevroğa qadar grant almaq mümkün,На проєкти з культурної інтеграції ВПО можна отримати грант до 5000 євро
"Ükümet, işğalcilerniñ esiri olğan Oleh Gakazükke Levko Lukyanenko adına stipendiyanı bermege teşebbüs ete",Уряд ініціює надання стипендії Левка Лук’яненка бранцю окупантів Олегу Галазюку
Bölge grajdan ealini destek idare merkezilerine resurslar ve ğayretlerge celp etmek,Зосередити ресурси та зусилля навколо регіональних координаційних центрів підтримки цивільного населення
Harkiv vilâyetine eñ az 4 biñ burjuyka bedava olaraq berilir,На Харківщину безкоштовно буде передано понад 4 тисячі буржуйок
"İrına Vereşçuk, Milliy içki işler akademiyasını ziyaret etti",Ірина Верещук відвідала Національну академію внутрішніх справ
"Müessiselerarası eyyet, halqara gumanitar uquqnı bozma sicilini yaratmasını teşebbüs ete",Міжвідомча комісія ініціює створення реєстру порушень міжнародного гуманітарного права
Milliy malümat bürosınıñ sicilinden esirlikte bulunğan insan aqqında malümat nasıl almaq mümkün?,Як отримати інформацію про людину у полоні з реєстру Національного інформаційного бюро?
Harkiv vilâyetiniñ işğalden azat etilgen topraqlarını yañıdan quruv ceryanı devam ete,Триває відновлення звільнених територій Харківщини
"Kıyivde köçip kelgen insanlar, yañı meskenlerden anahtarlarnı aldılar",У Києві переселенці отримали ключі від нових помешкань
"İrına Vereşçuk: imkânları olsa, ukrainalılarnı Qırımdan çıqmağa daa bir kere rica eterim",Ірина Верещук: Вкотре прошу українців за можливості виїхати з Криму
ReNazirliginde Esirlik tanıma meseleleri eyyetiniñ oturışı keçirildi,У Мінреінтеграції відбулося засідання Комісії з питань встановлення факту полону
İdare ştabında vatandaşlarnı Ukrainağa qaytaruv ceryanını mükemmelleştirmege muzakere ettiler,На Коордштабі обговорили удосконалення процедури повернення громадян в Україну
Cemaatnıñ reintegratsiya forumında İrına Vereşçuk iştirak etti,Ірина Верещук взяла участь у Форумі реінтеграції громад
Qırımdan genç insanlar ukrain pasportını almağa başladılar,Молоді люди з Криму почали масово отримувати українські паспорти
"Deyerli 1900 insan, Ukrainanı yañıdan qurmağa qatılmağa istey",Майже 1900 людей бажають приєднатися до відновлення України
Ukrainada 3 million saqatlı insan bar,В Україні налічується 3 мільйони людей з інвалідністю
İşğalden azat etilgen topraqlar mesleleri idare ştabınıñ işi aqqında esabat beremiz,Звітуємо про роботу Координаційного штабу з питань деокупованих територій
"Devlet içinde alınğan kişilerni yerleştirgen vatandaşlarğa 2,2 milliard grivna ödendi","Вже виплачено понад 2,2 мільярда гривень громадянам, які прихистили внутрішніх переселенців"
"Ukrain ösmürleri, öz dayanıqlıq ikâyelerinen paylaştılar",Українські підлітки поділилися своїми історіями стійкості
“Nasılsıñ?” – bugün Ruhiy sağlıq künü,«Ти як?» – сьогодні День ментального здоров’я
"Bu sene halqara ortaqlar 2,6 milliard grivna odunğa ayıracaqlar","Цьогоріч міжнародні партнери виділять на дрова 2,6 мільярда гривень"
"Cenkten zarar körgen ukrainalılar, Estoniya qaçaqlar meseleleri şurasından para yardımını ala bilriler",Постраждалі від війни українці можуть отримати грошову допомогу від Естонської ради у справах біженців
Berim ayında Milliy malümat bürosı eñ az 14 biñ hitap aldı,У вересні до Національного інформаційного бюро надійшло понад 14 тисяч звернень
Şu anda ecnebiy ülkelerde bulunğan ukrain balalarınıñ aqlarını qorçamalımız,"Маємо подбати про захист прав українських дітей, які наразі перебувають за кордоном"
"İrına Vereşçuk, DAK meseleleri idare ştabınıñ oturışını keçirdi",Ірина Верещук провела засідання Коордштабу з питань ВПО
"“Devlet içinde alınğan kişilerniñ yañı cemiyetke integratsiyası, ülkeniñ inkişafınıñ büyük küçüdir”, – Olesâ Babuşkina, Donetsk vilâyeti","«Інтеграція внутрішньо переміщених осіб у громаду – це рушійна сила розвитку країни», – Олеся Бабушкіна, Донеччина"
DAK olağan ve çalışmağa devam etken cemaat erbapları içün destek programması başlatıldı,"Для громадських активістів, які стали ВПО і продовжують працювати, запустили програму підтримки"
Qış mevsimini yaşaması içün Büyük Britaniya Ukrainağa maliyeviy yardım ayırır,Велика Британія виділяє фінансову допомогу Україні для проходження зимового періоду
"Haqlara donorlarnı şimdiki leyhalarğa, şu cümleden qış mevsimine azırlamalarğa diqqatını celp etmege çağıram","Закликаю міжнародних донорів зосередитися на поточних проєктах, зокрема підготовці до зимового періоду"
Ukraina vatandaşlarınıñ VİETdan çıqmalarını temin etüv meseleleri idare ştabınıñ nevbet oturışı keçirildi,Відбулось чергове засідання Координаційного штабу з питань забезпечення виїзду громадян України з ТОТ
"ReNazirligi, DAKniñ bedava yerleşmeleri içün eñ az 238 mln grivna tazminat ödedi",Мінреінтеграції перерахувало понад 238 млн гривень на компенсації за безоплатне розміщення ВПО
"Sumı vilâyetiniñ sıñırlarından tahliye etilgen insanlar, halqara teşkilâttan para yardımını aldılar",Евакуйовані з прикордоння Сумщини отримали грошову допомогу від міжнародної організації
"Ruhiyat oquv programmaları, bugünki çağıruvlarğa uyğun olmalılar",Навчальні програми з психології мають відповідати викликам сьогодення
Müessiseler arası oturışta halqara grantlarnıñ bergileşmesini muzakere ettiler,
Vitse baş nazir İrına Vereşçuk biznesni Harkiv vilâyetiniñ yañıdan qurulmasına yatırım yapmağa çağırdı,Віцепрем’єр-міністр Ірина Верещук закликала бізнес інвестувати у відновлення та розвиток Харківщини
Halqara teşkilâlar tarafından devlet içinde alınğan kişilerge berilgen hayriye yardımında bergi alınmaz,"Благодійна допомога, яка надається внутрішнім переселенцям міжнародними організаціями, не оподатковується"
İçtimaiy qorçalav organları viran etilgen ve bozulğan mülk siciline irişim aldılar,Органи соцзахисту отримали відомості з реєстру зруйнованого та пошкодженого майна
İşğalden azat etilgen topraqlar meseleleri idare ştabınıñ işi aqqında esabat beremiz,Звітуємо про роботу Координаційного штабу з питань деокупованих територій
“Öz işi” grant programmasınıñ ğalebeleri öz biznesini başlatmaq ve inkişaf ettirmek içün eñ az 1 mlrd grivna alacaqlar,Переможці грантової програми «Власна справа» отримають понад 1 млрд гривень на започаткування й розвиток бізнесу
Ukraina işğal etilgen topraqlardan daa eki balanı qaytardı,Україна повернула двох дітей із тимчасово окупованої території
Ukraina 64 ölgen askerniñ bedenini qaytardı,Україна повернула тіла 64 загиблих воїнів
