crh_Latn,eng
"Soñraki 11 yıl boyunca, qadınlarnıñ yalıñızca X hromosomasına saip olğanını, erkekllerniñ ise em X em de Y hromosomalarına saip olğanını belli etti.
","Over the next 11 years, she discovered that females only had the X chromosome and males had both X and Y chromosomes.
"
"James Watson ve Francis Crick 1953'te Rosalind Franklin ve Maurice Wilkins'in X-ışını kristalografiyasıniñ neticelerini qullanğanda DNE-niñ sarmal bir yapığa (yani bir ştopor şekline) saip olğannı köstergen DNE-niñ yapısını belli etiler.
","James Watson and Francis Crick determined the structure of DNA in 1953, using the X-ray crystallography work of Rosalind Franklin and Maurice Wilkins that indicated DNA has a helical structure (i.e., shaped like a corkscrew).
"
"Yapı ayrıca qolay bir kopiyalav usulı teklif etti: iş parçacıqları bölünse de, eski iş parçacığınıñ sırasına köre er biri içün yañı ortaq iş parçacıqları yañıdam tikile bilir.
","The structure also suggested a simple method for replication: if the strands are separated, new partner strands can be reconstructed for each based on the sequence of the old strand.
"
"Soñraki yıllarda alimler, DNE-nıñ aqsil işlep çıqaruv esnasını nasıl kontrol etkenini añlamağa çalıştılar.
","In the following years, scientists tried to understand how DNA controls the process of protein production.
"
"İrsiyetniñ yañı alınğan molekulâr añlayınen, bir araştırma patlaması başladı.
","With the newfound molecular understanding of inheritance came an explosion of research.
"
"Emiyetli muvafaqiyetlerden biri, 1977 senesinde Frederick Sanger tarafından zincirli üzüvinen DNE-niñ sekveniridir.
","One important development was chain-termination DNA sequencing in 1977 by Frederick Sanger.
"
"Mendel, çiçek renkiniñ hususiyetlerini incelemek için yapqan deñevlerde, er nohut ösümliginiñ çiçekleriniñ ya mor ya da beyaz olğanı, ancaq iç bir vaqıt ekisi arasında orta seviyesinde olmağannı farq etti.
","In his experiments studying the trait for flower color, Mendel observed that the flowers of each pea plant were either purple or white—but never an intermediate between the two colors.
"
"İnsanlar da qoşıp bir çoq tür bu quvuv imseline saiptir.
","Many species, including humans, have this pattern of inheritance.
"
"Üzviyetler bir gen içün geterozigot olğanında, adetince bir alel üstün olğan olaraq adlandırılır, çünki onıñ hususiyetleri üzviyetniñ fenotipinde üstün olalar ve diger alel, hususiyetleri çekilmegeni ve körünmegeni içün kerilev olaraq adlandırılır.
","When organisms are heterozygous at a gene, often one allele is called dominant as its qualities dominate the phenotype of the organism, while the other allele is called recessive as its qualities recede and are not observed.
"
"Adetince ""+"" timsalı, bir genniñ ortaq, mutant olmağan bir alelini işaretlemek içün qullanılır.
","Often a ""+"" symbol is used to mark the usual, non-mutant allele for a gene.
"
"Bir çarpazlaşuv neticeisi tahmin etmek içün qullanılan tarqalğan diagrammalardan biri Punnett kvadratıdır.
","One of the common diagrams used to predict the result of cross-breeding is the Punnett square.
"
"Bazı genler bir-birinden mustaqil olaraq sıralanmaz, bu da genetika bağlantını kösterir - bu maqalede soñraki parçalarda muzakere etecek bir mevzu.)
","Some genes do not assort independently, demonstrating genetic linkage, a topic discussed later in this article.)
"
"Ancaq başqa bir gen, çiçeklerniñ renk barmı yoqsa beyazmı olğanını kontrol eter.
","Another gene, however, controls whether the flowers have color at all or are white.
"
"Bir çoq hususiyetler, ayrık hususiyetler (misal olaraq, mor ya da beyaz çiçekler) degil, devamlı hususiyetleridir (misal olaraq, bir kişiniñ r boyu ve teri renki).
","Many traits are not discrete features (e.g. purple or white flowers) but are instead continuous features (e.g. human height and skin color).
"
"Bir üzviyetniñ genleriniñ mürekkep bir hususiyetke isse qoşulma derecesinde irsiyet denir.
","The degree to which an organism's genes contribute to a complex trait is called heritability.
"
"DNE, dört çeşit olğan bir nükleotid zincirinden ibaret ola: adenin (A), tsitozin (C), guanin (G) ve timin (T).
","DNA is composed of a chain of nucleotides, of which there are four types: adenine (A), cytosine (C), guanine (G), and thymine (T).
"
"Viruslar saip olmadan çoğalamazlar ve çoq genetik esnas tabiiy tutulmazlar, bu sebepten canlı üzviyetler olaraq qabul etilmezler.
","Viruses cannot reproduce without a host and are unaffected by many genetic processes, so tend not to be considered living organisms.
"
"Bu DNE qurulışı, quvuvnıñ bedeniy temelidir: DNE replikatsiyası, zincirlerni ayırayıp ve er bir yipligi yañı bir ortaq zincirni sentezlemek içün bir şablon olarak qullanğanda genetika bilgini çoğaltır.
","This structure of DNA is the physical basis for inheritance: DNA replication duplicates the genetic information by splitting the strands and using each strand as a template for synthesis of a new partner strand.
"
"Bu DNE zincirleri adetince çoq uzundır; misal olaraq, eñ büyük insan hromosoma yaqında 247 million temel çifti uzunlığındadır.
","These DNA strands are often extremely long; the largest human chromosome, for example, is about 247 million base pairs in length.
"
"DNE eñ sıq olarak üceyre özeginde bulunır, ancaq Ruth Sager, özekniñ tışındaki hromosoma olmağan genlerniñ keşifine yardımcı oldı.
","DNA is most often found in the nucleus of cells, but Ruth Sager helped in the discovery of nonchromosomal genes found outside of the nucleus.
"
"Gaploid üzviyetler er hromosomanıñ yalıñız bir kopiyasına saip olsa da, çoqusı ayvan ve bir çoq ösümlik, eki hromosoma ve, böylece, er bir genniñ eki kopiyasından ibaret olğan diploiddir.
","While haploid organisms have only one copy of each chromosome, most animals and many plants are diploid, containing two of each chromosome and thus two copies of every gene.
"
"İnsanlarda ve diger bir çoq ayvanda, Y hromosoması, hususan erkek hususiyetleriniñ inkişafını başlağan bir gen içerir.
","In humans and many other animals, the Y chromosome contains the gene that triggers the development of the specifically male characteristics.
"
"Mitoz adı berilgen bu esnas, çoğaluvnıñ eñ sade şeklidir ve cınıssız çoğaluvınıñ temelinde buluna.
","This process, called mitosis, is the simplest form of reproduction and is the basis for asexual reproduction.
"
"Eykariotik üzviyetler, eki faqllı ana-babadan miras qalğan bir genetika malzeme qarışmasından ibaret olğan töller bermek içün adetince cınsiy çoğaluvı qullanır.
","Eukaryotic organisms often use sexual reproduction to generate offspring that contain a mixture of genetic material inherited from two different parents.
"
"Bazı bakteriyalar, kiçik bir alqalı DNE parçasını başqa bir bakteriyağa bergende kongyugatsiya ola bilir.
","Some bacteria can undergo conjugation, transferring a small circular piece of DNA to another bacterium.
"
"Böylece çiftleşken bir çiftniñ töllerinde yañı gen taqımları peyda ola bilir.
","In this way new combinations of genes can occur in the offspring of a mating pair.
"
"Çaprazqanda, hromosomalar DNE parçalarını gen alellerini hromosomalar arasında faal bir şekilde qarıştırğanda deñiştireler.
","During crossover, chromosomes exchange stretches of DNA, effectively shuffling the gene alleles between the chromosomes.
"
"Melezlemeniñ ilk sitologik kösterüvi 1931 senesinde Harriet Kreighton ve Barbara McClintock tarafından yapıldı.
","The first cytological demonstration of crossing over was performed by Harriet Creighton and Barbara McClintock in 1931.
"
"İstenilgen büyük bir mesafe içün, keçiş ihtimalı, gen mirasınıñ semerli bir şekilde kelişilmegen olması içün yeterli derecede yüksektir.
","For an arbitrarily long distance, the probability of crossover is high enough that the inheritance of the genes is effectively uncorrelated.
"
"Muayyen bir aminoekşilik sırası, belli bir aqsilniñ beñzemegen bir üç ölçüli yapısına yol açar ve aqsillerniñ üç ölçüli yapıları, funktsiyalarınen bağlıdır.
","The specific sequence of amino acids results in a unique three-dimensional structure for that protein, and the three-dimensional structures of proteins are related to their functions.
"
"Onıñ çezilişi, çoqusında El-Harezminiñ işine esaslanğan.
","His solution was largely based on Al-Khwarizmi's work.
"
"Bunıñnen beraber, bir noqtada, kvadratik formulası tögereklev hatası sebebinden doğrulığını coymağa başlay, aynı vaqıtta yaqlaşma usulı yahşılaşmağa devam ete.
","However, at some point the quadratic formula begins to lose accuracy because of round off error, while the approximate method continues to improve.
"
"Arttıruv, derece ve tamır almaq kibi vaqıt alğan ameliyatlar etrafında qısqa yollar teklif etken prosthaphaeresis adlı sayılı yaqlaşma usulları mevcut oldılar.
","Methods of numerical approximation existed, called prosthaphaeresis, that offered shortcuts around time-consuming operations such as multiplication and taking powers and roots.
"
"Çeziliş tapmaq içün esaplama algoritmleri, sayılı sızıqiy cebirniñ müim bir parçasıdır ve müendislik, fizika, himiya, kompyuter ilimleri ve iqtisadiyatta büyük bir rol oynay.
","Computational algorithms for finding the solutions are an important part of numerical linear algebra, and play a prominent role in engineering, physics, chemistry, computer science, and economics.
"
"Bütün sayılarnıñ alqası kibi bir integral alanındaki ya da diger cebir tizilişlerinde çezilişler içün başqa nazariyeler inkişaf etilgen, alqa üzerinde sızıqiy musaviylemege baqıñız.
","For solutions in an integral domain like the ring of the integers, or in other algebraic structures, other theories have been developed, see Linear equation over a ring.
"
"Bu, bütün til ve vektor boşluqlarınıñ (ya da daa umumnen modullerniñ) nazariyesini türlendirmege imkân bere.
","This allows all the language and theory of vector spaces (or more generally, modules) to be brought to bear.
"
"Böyle bir sistema soñunace belli etilmegen bir sistema olaraq bellidir.
","Such a system is known as an underdetermined system.
"
"Ekinci sistema yekâne bir çezilişke saiptir, yani eki sızıqlarnıñ kesişmesidir.
","The second system has a single unique solution, namely the intersection of the two lines.
"
"Bu musaviylemeniñ er ekisi ortaq bir çezilişke saip ola.
","Any two of these equations have a common solution.
"
"Sol tarafları sızıqiy olaraq mustaqil olğan bir musaviyleme sisteması er vaqıt ardısıradır.
","A system of equations whose left-hand sides are linearly independent is always consistent.
"
"Bu, bir dane daa az musaviylemeli ve bir dane daa az mecülli bir musaviyleme sistemasını berir.
","This yields a system of equations with one fewer equation and one fewer unknown.
"
"Tür 3: Bir satırğa digerniñ misli skalârını qoşmaq.
","Type 3: Add to one row a scalar multiple of another.
"
"Misal olaraq, tenazuriy müsbet muayyen matritsalı olğan sistemalar Çoleskiy dağıluvınen eki kere tezce çezile bilir.
","For instance, systems with a symmetric positive definite matrix can be solved twice as fast with the Cholesky decomposition.
"
"Pek büyük sistemalar içün adetince bütünley başqa akis taqdirde çoq vaqıt ya da afizanı alğan bir usul qullanıla.
","A completely different approach is often taken for very large systems, which would otherwise take too much time or memory.
"
"Bu, iterativ usullar sınıfına yol açar.
","This leads to the class of iterative methods.
"
"Riyaziyatta bir sıra, qaba şekilde, berilgen bir başlanğıç miqdarına ardı-sıra soñsuz çoq sayı qoşma ameliyatnıñ tasvir etmesidir.
","In mathematics, a series is, roughly speaking, a description of the operation of adding infinitely many quantities, one after the other, to a given starting quantity.
"
"Riyaziyatta er yerde olğanlarından ilâve ğayrı, soñsuz sıralar fizika, kompyuter ilimi, isaiyat ve maliye kibi diger miqdar ilimlerde de keniş qullanılmaqtadır.
","In addition to their ubiquity in mathematics, infinite series are also widely used in other quantitative disciplines such as physics, computer science, statistics and finance.
"
"Zenonıñ Akhilleus ve qaplıbaqa paradoksı, soñsuz cemilerniñ bu mantıqsız hususiyetini kösterir: Akhilleus bir qaplıbaqa peşinden çapa, amma o qoşu başında qaplıbaqanıñ yerine yetişkende, qaplıbaqa ekinci yerine yetişti; ekinci yerge yetişkende qaplıbaqa üçünci yerdedir ve bu böyle devam eter.
","Zeno's paradox of Achilles and the tortoise illustrates this counterintuitive property of infinite sums: Achilles runs after a tortoise, but when he reaches the position of the tortoise at the beginning of the race, the tortoise has reached a second position; when he reaches this second position, the tortoise is at a third position, and so on.
"
"Bu delil, ceminiñ 2-ge musaviyligini isbat etmey (o musaviy olsa da), ancaq 2-den ziyade olmağanını isbat ete.
","This argument does not prove that the sum is equal to 2 (although it is), but it does prove that it is at most 2.
"
"Tegiz yaqınlaşma testleri, Weierstrassnıñ M-testi, Abelniñ tegiz yaqınlaşma testi, Dininiñ testi ve Cauçi kriteriyinden ibaret.
","Tests for uniform convergence include the Weierstrass' M-test, Abel's uniform convergence test, Dini's test, and the Cauchy criterion.
"
"Yaqınlaşma, yaqınlaşma diskniñ iç qısımlarnıñ qabalı ve sıñırlı (yani, kompakt) alt çoqluqlarda tegiz bir şekilde bitişe.
","The convergence is uniform on closed and bounded (that is, compact) subsets of the interior of the disc of convergence: to wit, it is uniformly convergent on compact sets.
"
"Hilbert-Poincare sırası, dereceli cebirlerni incelemek içün qullanılğan resmiy bir quvet sırasıdır.
","The Hilbert–Poincaré series is a formal power series used to study graded algebras.
"
"17-nci asırda James Gregori yañı onarlama sistemada soñsuz sıralar üzerinde çalıştı ve bir qaç Maclaurin sıralarnı derc etti.
","In the 17th century, James Gregory worked in the new decimal system on infinite series and published several Maclaurin series.
"
"Kauchy (1821) yaqınlaşnıñ talapkâr testlerinde israr etti: eger eki sıra bitişse, olarnıñ neticesi böyle de mıtlaqa olıp olamay, ve onıñnen birlikte semereli kriteriylerniñ açılması da başlay.
","Cauchy (1821) insisted on strict tests of convergence; he showed that if two series are convergent their product is not necessarily so, and with him begins the discovery of effective criteria.
"
"Cemileme usulı, klassik yaqınlaşma añlamını kerekli bir şekilde kenişletken ayırılışqan sıralarnıñ taqımınıñ bir alt taqımına bir sıñır tayinlemektir.
","A summability method is such an assignment of a limit to a subset of the set of divergent series which properly extends the classical notion of convergence.
"
"İnd alimleri faktorial formulalarnı eñ azından 12-nci asırdan berli qullana ediler.
","Indian scholars have been using factorial formulas since at least the 12th century.
"
"Funktsional tillerde, rekursiv tayini adetince resimleviy rekursiv funktsiyalarını köstermek içün doğrudan qullanıla.
","In functional languages, the recursive definition is often implemented directly to illustrate recursive functions.
"
"Diger yerine ketirmeler (kompyuter programma teminatı kibi elektron cedvelleri kibi) adetince daa büyük degernen çalışa bilir.
","Other implementations (such as computer software such as spreadsheet programs) can often handle larger values.
"
"Pickoverniñ superfaktorial tayınınen qarşılaştırıp, giperfaktorial nisbeten yavaş büyür.
","Compared to the Pickover definition of the superfactorial, the hyperfactorial grows relatively slowly.
"
"Faktoriallar içün nisbeten adiy çeziliş yoq; iç bir soñlu cemi kombinatsiyası, asıllar, dereceler, dereceli funktsiyalar ya da logarifmlerniñ ifade etmesi içün yeterli olunmaz; ancaq diferentsial ve integral esabından integrallar ve limitler kibi aletlerni qullanğanda faktorial içün umumiy bir formulanı tapmaq mümkün.
","There are, relatively speaking, no such simple solutions for factorials; no finite combination of sums, products, powers, exponential functions, or logarithms will suffice to express ; but it is possible to find a general formula for factorials using tools such as integrals and limits from calculus.
"
"Şimdige qadar qonuşqanımız integrallar transtedental funktsiyalardan ibaret, ancaq gamma funktsiyası da tamamen cebren funktsiyalarnıñ integrallarından doğar.
","The integrals we have discussed so far involve transcendental functions, but the gamma function also arises from integrals of purely algebraic functions.
"
"Sıñırlarını alıp, soñsuz sayıda faktorlı muayyen ratsional asıllar gamma funktsiyası taraftan da qıymetlendirile bilir.
","By taking limits, certain rational products with infinitely many factors can be evaluated in terms of the gamma function as well.
"
"Hususan, Philip J. Davis tarafından 1963 Chauvenet Mukâfatını qazanğan bir maqalede vesiqalanğan tarihi, 18-nci asırdan berli riyaziyatnıñ bir çoq emiyetli muvafaqiyetini tasvir ete.
","Its history, notably documented by Philip J. Davis in an article that won him the 1963 Chauvenet Prize, reflects many of the major developments within mathematics since the 18th century.
"
"Er formula içün hususiy bir isbat tapmaq yerine, gamma funktsiyasını tayinlemek içün umumiy bir usulğa saip olmaq arzu etilir.
","Instead of finding a specialized proof for each formula, it would be desirable to have a general method of identifying the gamma function.
"
"Lâkin, gamma funktsiyası er angi bir basit differetsial musaviylemesini qanaatlendirmey kibi körümektedir.
","However, the gamma function does not appear to satisfy any simple differential equation.
"
"Bohr–Mollerup teoreması faydalıdır, çünki gamma funktsiyasını tayinlemek içün qullanılğan formulalardan er angi biriniñ içün logarifm qabarıqlığını isbat etmek nisbeten qolaydır.
","The Bohr–Mollerup theorem is useful because it is relatively easy to prove logarithmic convexity for any of the different formulas used to define the gamma function.
"
"1950 senelerde elektron kompyuterleri cedvellerniñ imalı içün irişile bilgen alına keldikçe, talapnı qarşılaşmaq içün AQŞ Milliy Standart Bürosından 12 onarlama yerlerine qadar hassas bir cedvel de ilâve etip mürekkep gamma funktsıyası içün bir qaç keniş cedvel derc etildi.
","As electronic computers became available for the production of tables in the 1950s, several extensive tables for the complex gamma function were published to meet the demand, including a table accurate to 12 decimal places from the U.S. National Bureau of Standards.
"
"İlimde formula, riyaziy bir formula ya da himiya formulada kibi malümatnı timsal olaraq ifade etmeniñ qısqa bir çaredir.
","In science, a formula is a concise way of expressing information symbolically, as in a mathematical formula or a chemical formula.
"
"Riyaziyatta, bir formula adetince eñ müimlerniñ riyaziy teorema olmasınen birlikte olğan bir riyaziy ifadeni digerine musaviylegen tıpqılıqqa aittir.
","In mathematics, a formula generally refers to an identity which equates one mathematical expression to another, with the most important ones being mathematical theorems.
"
"Bu konventsiya, nisbeten sade bir formulada daa az emiyetli olmaqnen birlikte, riyaziyatçılarnıñ daa büyük ve daa mürekkep olğan formulalarnı daa tez idare ete bilecegi manasına kele.
","This convention, while less important in a relatively simple formula, means that mathematicians can more quickly manipulate formulas which are larger and more complex.
"
"Meselâ, H2O, er molekulanıñ eki gidrogen atomından (H) ve bir oksigen atomından (O) ibaret olğanını köstergen suvnıñ himiyaviy formulasıdır.
","For example, H2O is the chemical formula for water, specifying that each molecule consists of two hydrogen (H) atoms and one oxygen (O) atom.
"
"Empirik formulalarda, tenessüpler bir anahtar unsurnen başlar ve daa soñ anahtar unsurğa nisbet olaraq birleşmedeki diger unsurlarnıñ atom sayılarını menimserler.
","In empirical formulas, these proportions begin with a key element and then assign numbers of atoms of the other elements in the compound—as ratios to the key element.
"
"Ancaq bazı ion birleşmelerniñ türleri, tek tam sayılarnı kirsetken empirik formulaları olaraq yazılamaz.
","Some types of ionic compounds, however, cannot be written as empirical formulas which contains only the whole numbers.
"
"Molekula formulaları ve kondensir formulaları da ilâve etip böyle formulalarnıñ bir qaç türü bar.
","There are several types of these formulas, including molecular formulas and condensed formulas.
"
"Funktsiyalar başlangıçta farqlı bir miqdarnıñ başqa miqdarına bağlı olğanınıñ idealleştirüvidir.
","Functions were originally the idealization of how a varying quantity depends on another quantity.
"
"Bu tayininiñ ""grafik"" obyekt çiftlerniñ taqımına aittir.
","This definition of ""graph"" refers to a set of pairs of objects.
"
"Alan ve kodoalan kerçek sayılarnıñ taqımı olğanda, böyle bir çiftlerden er biri tüzlükniñ bir noqtasında Kartesian koordinatalar olaraq tüşünile bilir.
","When the domain and the codomain are sets of real numbers, each such pair may be thought of as the Cartesian coordinates of a point in the plane.
"
"Bazen, onı funktsiyanen tıpqıllıq ete bilir, amma bu, bir funktsiyanıñ esnas olaraq adetteki iza etmesini gizler.
","Occasionally, it may be identified with the function, but this hides the usual interpretation of a function as a process.
"
"Bir haritanıñ kodoalanı olaraq er angi bir taqım ola bilir, bazı kontekstlerde, adetince daa eski kitaplarda, bir funktsiyanıñ hususiy olaraq kerçek ya da mürekkep sayılar taqımıdır.
","A map can have any set as its codomain, while, in some contexts, typically in older books, the codomain of a function is specifically the set of real or complex numbers.
"
"Diger ortaq bir misal, hata funktsiyasıdır.
","Another common example is the error function.
"
"Derece sıraları, bitişkenleri alanındaki funktsiyalarnı tayin etmek içün qullanıla bilir.
","Power series can be used to define functions on the domain in which they converge.
"
"Daa soñ, funktsiyanıñ alanını kenişletmek içün derece sıraları qullanıla bilir.
","Then, the power series can be used to enlarge the domain of the function.
"
"Bunıñ parçaları, funktsiyanı (parçalarnı) temsil etken bir sızğını yarata bilir.
","Parts of this may create a plot that represents (parts of) the function.
"
"Bu, kanonik faktorizatsiyadır.
","This is the canonical factorization of .
"
"O vaqıt, tek kerçek deñişicili kerçek büyüklik funktsiyaları baqıp çıqındılar ve bütün funktsiyalar tegiz olaraq qabul etildi.
","At that time, only real-valued functions of a real variable were considered, and all functions were assumed to be smooth.
"
"Funktsiyalar şimdi riyaziyatnıñ er alanında qullanılmaqtadır.
","Functions are now used throughout all areas of mathematics.
"
"Böylece ters trigonometrik funktsiyalar, trigonometrik funktsiyalar yeknesak olğanda, trigonometrik funktsiyalar şaraitlerde tayin etilir.
","This is how inverse trigonometric functions are defined in terms of trigonometric functions, where the trigonometric functions are monotonic.
"
"Çoq degerli funktsiyalar qavrayışınıñ faydalıq mürekkep funktsiyalar, adetince analitik funktsiyalarnı baqıp çıqqanda daa añlayışlıdır.
","Usefulness of the concept of multi-valued functions is clearer when considering complex functions, typically analytic functions.
"
"Böyle bir funktsiyağa funktsiyanıñ esas degeri denilir.
","Such a function is called the principal value of the function.
"
"Funktsional programmalama, tek riyaziy funktsiyalar kibi areket etken alt programmalarnı qullanğanda programmalar qurulışından ibaret olğan programmalama paradigmasıdır.
","Functional programming is the programming paradigm consisting of building programs by using only subroutines that behave like mathematical functions.
"
"Kompyuter ıstılaatına baqmadan, ""funktsiya"" informatikada adiy riyaziy manasına saiptir.
","Except for computer-language terminology, ""function"" has the usual mathematical meaning in computer science.
"
"Istılahlar, esaplama quralları olaraq añlağan ola bilirler ve nazariyetniñ aksiomlarnı olaraq telqin etilgen bazı qaideler qullanıp oynar.
","Terms are manipulated through some rules, (the -equivalence, the -reduction, and the -conversion), which are the axioms of the theory and may be interpreted as rules of computation.
"
"Nicolas Chuquet, 15-inci asırda daa sonra Henricus Grammateus ve Michael Stifel tarafından 16-ncı asırda qullanılğan bir derece işaretlemesi şekilini qullandı.
","Nicolas Chuquet used a form of exponential notation in the 15th century, which was later used by Henricus Grammateus and Michael Stifel in the 16th century.
"
"Böylece polinomlarnı yaza bilir ediler, meselâ, .
","Thus they would write polynomials, for example, as .
"
"Netice er vaqıt müsbet bir kerçek sayıdır ve tam dereceler içün kösterilgen tıpqılıqlar ve hususiyetler kerçek derecelerniñ tayını içün doğru qalır.
","The result is always a positive real number, and the identities and properties shown above for integer exponents remain true with these definitions for real exponents.
"
"Bu funktsiya, müsbet kerçek kök altında ifadeler içün aday th tamırğa musaviydir.
","This function equals the usual th root for positive real radicands.
"
"Bu, yarıtaqımlarnıñ riyaziy nazariyesiniñ başlangıç noqtasıdır.
","This is the starting point of the mathematical theory of semigroups.
"
"Vn-ni almaq içün N taqımı n kardinal raqamınen deñişe bilirmiz, ancaq n kardinallıqlı mahsus bir standart taqımnı saylamadan bu tek izomorfizmge qadar tayinlenir.
","We can again replace the set N with a cardinal number n to get Vn, although without choosing a specific standard set with cardinality n, this is defined only up to isomorphism.
"
"Nikolas Bourbaki, Riyaziyatniñ Unsurları, Çoqluq Nazariyesi, Springer-Verlag, 2004, III.§3.5.
","Nicolas Bourbaki, Elements of Mathematics, Theory of Sets, Springer-Verlag, 2004, III.§3.5.
"
"Tetratsiyanıñ iteratsiyası diger ameliyatqa, ve ondan soñ, giperameliyat qavrayışına ketire.
","Iterating tetration leads to another operation, and so on, a concept named hyperoperation.
"
"Ameliy sazlamada, dereceli funktsiyalar, mustaqil olaraq deñişicideki daimiy bir deñişmesi aynı bağlı bir deñişiciniñ mütenasiplik deñişmesini (yani fayız arttıruvı ya da azaltuvını) bere.
","In applied settings, exponential functions model a relationship in which a constant change in the independent variable gives the same proportional change (that is, percentage increase or decrease) in the dependent variable.
"
"Bu funktsiyanıñ hususiyeti, dereceli artma ya da cayramağa yol açar.
","This function property leads to exponential growth or exponential decay.
"
"Beñzegen bir şekilde, onto (süryektiv) funktsiyalarnıñ terkibi er vaqıt ontodır.
","Similarly, the composition of onto (surjective) functions is always onto.
"
"Daa soñ birlikte turğan çevirilmeniñ zıncırları yaratıla bilir, meselâ .
","Then one can form chains of transformations composed together, such as .
"
"Bu alternativ işaretlemesine postfix işaretlemesi denilir.
","This alternative notation is called postfix notation.
"
"Morfizm funktsiyalı taqım kategoriyası prototip kategoriyasıdır.
","The category of sets with functions as morphisms is the prototypical category.
"
"Meselâ, detsibel (dB), munasebetni logarifm olaraq ifade etmek içün qullanılğan, çoqusında signal küçü ve amplitudası (ortaq bir misal içün ses basımı) içün qullanılğan bir birlemdir.
","For example, the decibel (dB) is a unit used to express ratio as logarithms, mostly for signal power and amplitude (of which sound pressure is a common example).
"
"Muzıka aralarnıñ sıqlığını tayinlemege yardım eteler, adiy sayılarnı ya da tahmini faktoriallarnı sayğan formulalarda körünirler, ruhfizikataki bazı imsellerge malümat berirler ve makemeviy esabatqa yardımcı ola bilirler.
","They help to describe frequency ratios of musical intervals, appear in formulas counting prime numbers or approximating factorials, inform some models in psychophysics, and can aid in forensic accounting.
"
"Bir soñraki tam sayı 1430 raqamlarnıñ sayı olğan 4-tır.
","The next integer is 4, which is the number of digits of 1430.
"
"Napierniñ icadından evel, 1600 senesine yaqınlarda Jost Bürgi tarafından keñ işletilgen prosthaphaeresis ya da progressiya cedveliniñ qullanması kibi usullar da bu saalarnıñ diger usulları da bardır.
","Prior to Napier's invention, there had been other techniques of similar scopes, such as the prosthaphaeresis or the use of tables of progressions, extensively developed by Jost Bürgi around 1600.
"
"Bu qadar çoq raqam alğan sayı aqqında qonuşqanda, bu ortaq logarifmge qaba atıfı, Archimed “sayı sırası oña dedi”.
","Speaking of a number as requiring so many figures is a rough allusion to common logarithm, and was referred to by Archimedes as the “order of a number”.
"
"Böyle usullar prosthaphaeresis olaraq adlandırılalar.
","Such methods are called prosthaphaeresis.
"
"Meselâ, bir nautilus qabuğındaki er kamera, bir soñraki kameranıñ daimiy koeffitsiyent miqyaslanılğan yaqın bir kopiyasıdır.
","For example, each chamber of the shell of a nautilus is an approximate copy of the next one, scaled by a constant factor.
"
"Logarifmler aynı vaqıtta öz-beñzerliknen bağlıdır.
","Logarithms are also linked to self-similarity.
"
"Elektrik signallarnıñ transmissiyada gerginlik seviyeleriniñ zararını saylamaq, akustikada seslerniñ küç seviyelerini ve spektometriyada ve optik alanlarında ışıqnıñ yutmasını tayınlamaq içün qullanılır.
","It is used to quantify the loss of voltage levels in transmitting electrical signals, to describe power levels of sounds in acoustics, and the absorbance of light in the fields of spectrometry and optics.
"
"Sirke adetince yaqında 3 pH-qa saiptir.
","Vinegar typically has a pH of about 3.
"
"Ancaq bu ""law"", Stevensnıñ küç qanunı kibi daa yañı imsellerden daa az kerçekçidir.)
","This ""law"", however, is less realistic than more recent models, such as Stevens's power law.)
"
"Tesaduviy deñişiciniñ logarifmı normal tarqalmağa saip olğanda, deñişici log-normal tarqalmağa saip olğan denilir.
","When the logarithm of a random variable has a normal distribution, the variable is said to have a log-normal distribution.
"
"Böyle bir imsel içün ihtimallıq funktsiyası qıymet kesilgen kerek olğan eñ az bir parametrnen bağlıdır.
","For such a model, the likelihood function depends on at least one parameter that must be estimated.
"
"Aynı şekilde, birleştirme sıralama algoritmı, sıralanmağan bir cedvelni, cedvelni ekige bölip ve neticelerni birleştirmeden evel bunları sıralayıp abadanlaştırır.
","Similarly, the merge sort algorithm sorts an unsorted list by dividing the list into halves and sorting these first before merging the results.
"
"Lyapunov dereceleri, dinamik bir sistemanıñ haotik seviyesini ölçemek içün logaritm qullanır.
","Lyapunov exponents use logarithms to gauge the degree of chaoticity of a dynamical system.
"
"Sierpinski üçköşeligi (resimde), er biriniñ kenarları öz uzunlığınıñ yarısına saip olğan üç kopiya ile ötülgen ola bilir.
","The Sierpinski triangle (pictured) can be covered by three copies of itself, each having sides half the original length.
"
"Başqa bir misal, p-adic logarifm, p-adic dereceniñ ters funktsiyasıdır.
","Another example is the p-adic logarithm, the inverse function of the p-adic exponential.
"
"Dereceliklenme keçirmesi faal bir şekilde yapıla bilir, ancaq disket logarifm bazı zümrede esaplanması çoq zor olğanına inanılmaqtadır.
","Carrying out the exponentiation can be done efficiently, but the discrete logarithm is believed to be very hard to calculate in some groups.
"
"Menfiy sayılarnıñ kvadrat tamırları mürekkep sayılar çerçivesinde muzakere etile bilir.
","Square roots of negative numbers can be discussed within the framework of complex numbers.
"
"Qadimiy İndiyada, kvadrat ve kvadrat tamırnıñ nazariy ve ameliy aspektleriniñ bilgileri, eñ az ME 800-500 (ihtimal daa çoq evel) tarihlı Sulba Sutraları qadar eski oldı.
","In Ancient India, the knowledge of theoretical and applied aspects of square and square root was at least as old as the Sulba Sutras, dated around 800–500 BC (possibly much earlier).
"
"Jīm arfi şimdiki kvadrat tamır şekilini hatırlata.
","The letter jīm resembles the present square root shape.
"
