crh_Cyrl,eng
"О мазаллы, пек джесюр инсан ве яхшы субай эди, чешит фантастик шоу чыкъышларына алышкъынлыгъы олгъан адам.","He was a fat man, very brave, and a good officer, although addicted to fantastic shows."
"Лякин, бу гедже о теллер ичине тутулып, сарылып къалды, прожектор турмаздан оны ярыкълатып турмакъта, ичеклери теллер устюнде асылып къалды, бойлеликнен, оны о даа сагъ олгъанда кетиргенде, тельден бошатмакъ ичюн ичеклерини кесмеге меджбур олдылар.","But that night he was caught in the wire, with a flare lighting him up and his bowels spilled out into the wire, so when they brought him in, alive, they had to cut him loose."
"«Атып ольдюр мени, Хэрри, Алланынъ Ризасы ичюн ялварам, атып ташла мени», – деп седа чыкъарды.","""Shoot me, Harry, For Christ sake shoot me"",- she shouted."
"Бир заманларда ойле бир делиль бар эди. Алла Тааля даянып олгъанынъдан зияде сынавлар бермей ве даа бир кимнинъдир назариеси эсасында, бир аныкъ заманда бутюн агърылар озь-озюнден токътап кете.",They had had an argument one time about our Lord never sending you anything you could not bear and some one's theory had been that meant that at a certain time the pain passed you out automatically.
"Лякин онынъ акъылындан Вилльямсон, ве шу гедже олгъан вакъиа бир вакъыт чыкъмады.","But he had always remembered Williamson, that night."
"Вилльямсоннынъ агърылары асыл да кечмеди. Ве о, озю ичюн сакълагъан морфий апларыны онъа бермеге меджбур олды, олар да бир кереден тесир этмеди.",Nothing passed out Williamson until he gave him all his morphine tablets that he had always saved to use himself and then they did not work right away.
"Кене де онынъ шимди олгъан алы пек енгиль, бундан да фена олмаса, раатсызланмагъа шей ёкъ.","Still this now, that he had, was very easy; and if it was no worse as it went on there was nothing to worry about."
"Анджакъ, о башкъа бир гузель джемиет арасында олмасыны истер эди.",Except that he would rather be in better company.
"О текаран озь истеген, юрегине якъын инсанлары, джемиети акъкъында тюшюнип ятты.",He thought a little about the company that he would like to have.
"«Ёкъ» – акълына кельди. – Эгер эр япкъан ишинъни пек созсанъ, шу иш кечке къала, ве онынъ ичюн анда къалгъан адамларны тапып оламазсыз.","""No"", he thought, when everything you do, you do too long, and do too late, you can't expect to find the people still there."
Бутюн адамлар кетти.,The people all are gone.
Эглендже акъшамы сонъуна кельди ве сен эв саибесинен бир озюнъ къалдынъ.,The party's over and you are with your hostess now.
"– Онынъ акълына кене де кельди: – Эр шейден безген киби, олюм беклемесинден де бездим.","I'm getting as bored with dying as with everything else, he thought."
"– Джан сыкъыджы шей, – къычырды Инсан.","""It's a bore,"" he said out loud."
"– Не о, джаным?","""What is, my dear?"""
– Япкъан шейинъ бир бокъкъа ярамагъан.,"""Anything you do too bloody long."""
О атешнен озюнинъ арасында къалгъан Къадыннынъ бетине бакъты.,He looked at her face between him and the fire.
"Къадын курсюнинъ аркъасына таянып отура, атеш ярыгъы бетининъ дюльбер чизгилернинде йылтырай, Къадын юкъусырагъаны корюне.",She was leaning back in the chair and the firelight shone on her pleasantly lined face and he could see that she was sleepy.
"О кене де сыртланны, тамам атеш этрафы узакълыгъында давушланып, шамата чыкъаргъаныны эшитти.",He heard the hyena make a noise just outside the range of the fire.
"– Мен яза эдим, – деди о.","""I've been writing,"" he said."
– Лякин ёрулдым.,"""But I got tired."""
"– Юкълап олурсынъмы, не тюшюнесинъ?","""Do you think you will be able to sleep?"""
– Эльбетте.,- Pretty sure.
Сен не ичюн ятмайсынъ?,"Why don't you turn in?"""
– Янынъда отурмагъа истейим.,"""I like to sit here with you."""
– Сен худжур бир шей дуймайсынъмы? – деп сорады о Къадындан.,"""Do you feel anything strange?"" he asked her."
Тек азачыкъ юкъусырайым.,Just a little sleepy.
"– Мен дуям, – деди Инсан.","""I do,"" he said."
Олюм кене де онынъ янындан кечкенини дуйды.,He had just felt death come by again.
"– Билесинъми, бу дюньяда меним екяне гъайып этмеген шейим, бу эр шейни бильмек авеслигидир, – деди о.","""You know the only thing I've never lost is curiosity,"" he said to her."
– Сен бир вакъыт бир шей джоймадынъ.,"""You've never lost anything."
"Мен бильген инсанларнынъ арасындан сен энъ текмиль, энъ эксиклиги олмагъан инсандырсынъ.","You're the most complete man I've ever known."""
"– Аллам Яраббим, – деди Инсан.","- Christ,- he said."
– Къадын зааты асылында не къадар аз биле.,"""How little a woman knows."
Бу недир?,What is that?
Ичтен кельген сезгинлик дуйгъуларымы?,Are these your inner feelings?
"Чюнки тамам о вакъыт олюм кене де айланып кельди, башыны аякъ уджуна бешикке къойды ве о, олюмнинъ нефесини ис этти.","Because, just then, death had come and rested its head on the foot of the cot and he could smell its breath."
"“Never believe any of that about a scythe and a scull” («Бир вакъыт чалгъы ве къафа тасы акъкъында айткъанларына инанма»), – деди о Къадынгъа.","""Never believe any of that about a scythe and a skull,"" he told her."
"– Олюм эки аякъ машина устюнде полиция хадимлери олабилир, я да къуш сыфатында олур.","""It can be two bicycle policemen as easily, or be a bird."
Я да олюмнинъ сыртланынъ киби узун домуз бурну олур.,"Or it can have a wide snout like a hyena."""
"Шимди о Инсаннынъ устюне ерлеше, лякин онынъ энди бир тюрлю шекли ёкъ.","It had moved up on him now, but it had no shape any more."
О садедже ер ала.,It simply occupied space.
"– Айт онъа, кетсин!","""Tell it to go away."""
"– О кетмеди, даа да якъын ерлешти.",It did not go away but moved a little closer.
"– Сенинъ нефесинъ пис,– деди Инсан онъа.","""You've got a hell of a breath,"" he told it."
– Сен сасыкъ пис шейсинъ.,"""You stinking bastard."""
"– О кене де Инсангъа якъынджа йылышты ве энди Инсан оннен лаф этип оламай, Инсан лаф этип оламагъаныны корип, даа зияде якъынлашты ве шимди Инсан оны лаф этмезден къувалайджакъ ола. Лякин, о кене де Инсаннынъ устюне йылышты ве онынъ агъырлыгъы Инсаннынъ кокюсине кельди. О шей онынъ устюнде букюлип отургъан заманда, не къыбырданып, не де лаф этип олды, тек Къадын айткъаныны эшитти:","It moved up closer to him still and now he could not speak to it, and when it saw he could not speak it came a little closer, and now he tried to send it away without speaking, but it moved in on him so its weight was all upon his chest, and while it crouched there and he could not move or speak, he heard the woman say,"
– “Bwana” энди юкълай.,"""Bwana is asleep now."
Бешикни яваштан котерип чадыр ичине кирсетинъиз.,Take the cot up gently and carry it into the tent.
"О шейни андан къуваланмасыны Инсан къадынгъа айтып оламай, о шей исе, даа да агъырлашып устюне букленип ерлешти, агъырлыгъындан Инсан, та нефес алып оламады.","He could not speak to tell her to make it go away and it crouched now, heavier, so he could not breathe."
"Сонъ, хызметчи балалар бешикни котергенде, апансыздан эр бир шей, бир кереден, яхшы олды ве багърындан агъырлыкъ ёкъ олып кетти.","And then, while they lifted the cot, suddenly it was all right and the weight went from his chest."
"Саба ачылып бираз узангъанда, о учакъны эшитти.",It was morning and  he heard the plane.
"Учакъ онъа пек кичкене корюнди, сонъ о кенъ даире япты. Огълан балалар чапып чыкъты ве отны обалап, керосиннен атешлерни якъты. Учакъ къонаджакъ ерге эки балабан, бенек киби от обалары яптылар, енгиль саба ельчиги оларны лагерьге тараф уфюрип алып кетти, учакъ эки даире даа япты, бу сефер алчакътан учып, сонъра ашагъы тайып озюни догъуртты, ве йымшакътан ерге къонды, онъа къаршы кельген инсан севимли джан досту Камптон эди, устюнде бол штан, твид къумачтан курткасы ве къаверенки фетр шляпасы.","It showed very tiny and then made a wide circle and the boys ran out and lit the fires, using kerosene, and piled on grass so there were two big smudges at each end of the level place and the morning breeze blew them toward the camp and the plane circled twice more, low this time, and then glided down and levelled off and landed smoothly and, coming walking toward him, was old Compton in slacks, a tweed jacket and a brown felt hat."
"– Не олды, къарт хоразым? – сорады Камптон.","""What's the matter, old cock?"" Compton said."
"– Аягъым агъырта, – джевап берди Инсан.","""Bad leg,"" he told him."
– Сабалыкъ текаран къапынырсынъмы?,"""Will you have some breakfast?"""
– Сагъ ол.,- Thanks.
Якъында чай ичтим.,I'll just have some tea.
Сен о Puss Moth учагъыны билесинъ де.,It's the Puss Moth you know.
Мында тек бир ер бар.,There's only room for one.
Юк машинасы ёлда келеята.,"Your lorry is on the way."""
"Хелен Камптонны четке чекип, онен бираз лаф этип отурды.",Helen had taken Compton aside and was speaking to him.
Камптон кери къайткъанда зияде шенъ корюнди.,Compton came back more cheery than ever.
"– Биз сени шимди алырмыз, – деди о.","""We'll get you right in,"" he said."
– Къадынны исе къайтып келип алырым.,"""I'll be back for the Mem."
"Гъалиба, Аруштада къонып, янъыдан керосин толдурмагъа керек олур.",Now I'm afraid I'll have to stop at Arusha to refuel.
– Кетсек яхшы олур.,"We'd better get going."""
– Чай истемейсинъми?,"""What about the tea?"""
"– Билесинъ де, мен оны пек севмейим.","""I don't really care about it, you know."""
"Огъланлар бешикни котерип, ешиль чадырлар чевресинден ашагъы къая бою кетип тюземликке чыкътылар ве сонъ бенеклер бою кеттилер, атеш бенеклери шимди пек ярыкъ яна, бутюн от янгъан, ель атешни уфюртип, кичкене учакъкъа тараф алып кете.","The boys had picked up the cot and carried it around the green tents and down along the rock and out onto the plain and along past the smudges that were burning brightly now, the grass all consumed, and the wind fanning the fire, to the little plane."
"Оны учакъкъа кирсетмеси зор олды, лякин кирсетильген сонъ о, териден япылгъан отургъычкъа таянды, аягъы тамам Камптон отургъан ерге къадар созулды.","It was difficult getting him in, but once in he lay back in the leather seat, and the leg was stuck straight out to one side of the seat where Compton sat."
Камптон моторны йиберди ве ерине отурды.,Compton started the motor and got in.
"Сагълыкълашып, Хелен ве огъланларгъа къолуны саллады, моторнынъ чатырдысы таныш олгъан гудюрдиге чевирильген сонъ, олар Кампинен (Compie) учакъны айландырып, Wart hog чукъурларыны сейир этип, ерде эки якъылгъан атешлер арасындаки месафени силькинип, сонъки обадан сонъ котерильдилер, ве ашагъыда эписи къолларыны саллап тургъанларыны корьди, къыр янында ерлешкен лагерьни энди догъурылып башлагъан ве узанып тургъан тереклер группалары, тюзлюкте сепильген тереклер, кийик айванларнынъ излери шимди энди къуру тыйнакъларгъа алып кете; янъы, о, озю бир вакъыт корьмеген тыйнакъ та пейда олгъан.","He waved to Helen and to the boys and, as the clatter moved into the old familiar roar, they swung around with Compie watching for warthog holes and roared, bumping, along the stretch between the fires and with the last bump rose and he saw them all standing below, waving, and the camp beside the hill, flattening now, and the plain spreading, clumps of trees, and the bush flattening, while the game trails ran now smoothly to the dry waterholes, and there was a new water that he had never known of."
"Зебранынъ кичкене тёгереклешкен аркъасы ве антилопа, балабан башлы бенеклер, санки дерсинъ, тёпеге тырмаша, олар тюзлюк бою узун пармакъларгъа бенъзеп кетелер.","The zebra, small rounded backs now, and the wildebeeste, big-headed dots seeming to climb as they moved in long fingers across the plain."
"Энди сепильген шейлер кольгелер киби оларгъа, учакъкъа тараф якъынлашалар, шимди олар бир зерре олып корюнелер, оларнынъ арекетлеринде галоп чапмасы ёкъ, корьгенинъ къадар месафеде тюземлик сарылтым ве куль тюсте, онынъ алдында севимли Кампи достунынъ твид биджагъынынъ аркъасы ве къаверенки фетр шляпасы.","Now scattering as the shadow came toward them, they were tiny now, and the movement had no gallop, and the plain as far as you could see, gray-yellow now and ahead old Compie's tweed back and the brown felt hat."
"Сонъ олар биринджи къырны кечтилер ве антилопалар оларгъа тараф чапып башладылар.  Сонъра дагъларнынъ узерине чыкътылар, апансыздан котерилип пейда олгъан дагъларнынъ ешиль тёшеме орманы, массив бамбук джаплары, сонъра кене де сыкъ орман, олар оны учып кечкенде, олар сюйрю уджларынен ве чукъурларынен эйкель киби тура эди, сонъра энди атешин, эрылгъан ве къаверенки тюсте, сыджакътан энишли-ёкъушлы бир тюземлик даа пейда олды. Кампи артына айланып, учакъны насыл айдагъанларыны сейир эте.","Then they were over the first hills and the wildebeeste were trailing up them, and then they were over mountains with sudden depths of green-rising forest and the solid bamboo slopes, and then the heavy forest again, sculptured into peaks and hollows until they crossed, and hills sloped down and then another plain, hot now, and purple brown, bumpy with heat and Compie looking back to see how he was riding."
"Сонъра огде, къаранлыкъта даа да дагълар пейда олды.",Then there were other mountains dark ahead.
"Ве сонъра Аруштагъа учмакъ ерине, олар сол тарафкъа бурулдылар, гъалиба, Кампининъ акъылына учакънынъ якъарлыгъы етерлик олур деп кельди, ашагъы бакъкъанда о ер тёпесинден учкъан пемпе сепильген булутны корьди. Авада, Аллах бильсин къайдан кельген къар бораны, биринджи къар учкъунлары киби, аслында, о сарынчкъа эди, сарынчкъа исе, дженюптен кельгенини о биле эди. ","And then instead of going on to Arusha they turned left, he evidently figured that they had the gas, and looking down he saw a pink sifting cloud, moving over the ground, and in the air, like the first snow in at ii blizzard, that comes from nowhere, and he knew the locusts were coming, up from the South."
"Сонъ олар тёпеге тырмашып башладылар, гъалиба, шаркъ тарафкъа ёл туттылар, сонъра эр бир ер къаранлыкълашты ве олар фуртунагъа огърадылар, ягъмур о къадар шиддетли ягъа эди, санки дерсинъ учансув тюбюнден учасынъ, ве ниает, ондан да чыкътылар. Кампи башыны айландырып онъа ырджайды ве огге косьтерди, анда, алдында, о корип олгъан месафеде, дюнья о къадар кениш, мукеммель, къоджаман эди, кунь ярыгъында Килиманджаро дагънынъ дёрт коше тёпеси инанылмайджакъ беязлыкъта йылтырап тура.","Then they began to climb and they were going to the East it seemed, and then it darkened and they were in a storm, the rain so thick it seemed like flying through a waterfall, and then they were out and Compie turned his head and grinned and pointed and there, ahead, all he could see, as wide as all the world, great, high, and unbelievably white in the sun, was the square top of Kilimanjaro."
"Тек шимди о анълады, онынъ ёл туткъан дияры, будыр.",And then he knew that there was where he was going.
"Тек о заман сыртлан озь гедже увулдысыны токътатып, худжур, инсангъа бенъзеген, агълагъан киби, давуш чыкъара эди.","Just then the hyena stopped whimpering in the night and started to make a strange, human, almost crying sound."
Къадын бу давушны эшитти ве раатсызлыкънен къыбырданды.,"The woman heard it and, stirred uneasily."
О даа уянмады.,She did not wake.
"Къадын озь эвинде, Лонг Айленд (Long Island) деген ерде булунды, ве озь къызынынъ биринджи джемиетке чыкъыш мерасими геджесинден эвель олып кечкен вакъианы корьди.",In her dream she was at the house on Long Island and it was the night before her daughter's debut.
Бир ерлерден бабасы да анда кельди ве оннен пек серт эди.,Somehow her father was there and he had been very rude.
"Сонъ сыртлан ойле кескин давуш чыкъарды, Къадын уянып кетти ве биринджи дакъикъасы къайда олгъаныны анъламайып, пек къоркъты.",Then the noise the hyena made was so loud she woke and for a moment she did not know where she was and she was very afraid.
"Сонъ, къолуна фенерни алып, дигер бешикни, олар Хэрри юкълап къалгъан сонъ кирсеткен бешикни, ярыкълатты.",Then she took the flashlight and shone it on the other cot that they had carried in after Harry had gone to sleep.
"О Инсанны, сиврисенектен къорчаламакъ ичюн япылгъан ёлагъы тюбюнден беденини корьди, лякин насылдыр Инсан аягъыны чыкъаргъан ве аягъы бешиктен асылып къалгъан.",She could see his bulk under the mosquito bar but somehow he had gotten his leg out and it hung down alongside the cot.
Ярасынынъ бутюн саргъысы чезилип тюшкен ве Къадын Инсаннынъ ачыкъ ярасына бакъып оламады.,The dressings had all come down and she could not look at it.
– Моло! – чагъырды Къадын. – Моло! Моло!,"""Molo,"" she called, ""Molo! Molo!"""
"Сонъра: «Хэрри, Хэрри!» Сонъ даа да кучлю сеснен: «Хэрри!","Then she said, ""Harry, Harry!"" Then her voice rising, ""Harry!"
"Ялварам, вай, Хэрри!»","Please. Oh Harry!"""
"Джевап кельмеди, нефес алгъаны да дуюлмады.",There was no answer and she could not hear him breathing.
"Чатырдан тышта сыртлан айны шу худжур, оны уянткъан, давушны чыкъара.",Outside the tent the hyena made the same strange noise that had awakened her.
"Лякин Къадын, юреги ургъанындан, оны эшитмей.","But woman, didn't hear him for the beating of her heart."
 Эйикъомшуджылыкъ, Good-neighbourliness
__Иншалар джыйынтыгъы__,__A collection of essays__
БМТнынъ Къачакъларнынъ Ишлери боюнджа Алий Комиссарнынъ Идареси — бутюн джиандаки къачакъларны къорчаламакъ ве оларгъа ярдым этмек макъсадынен мейдангъа кетирильген гуманитар тешкиляттыр.,The United Nation High Commissioner for Refugees is a humanitarian organisation devoted to protecting and assisting the world’s refugees.
Къачакълар — озь мемлекетлерини зорбалыкъ нетиджесинде терк этмеге меджбур олгъан адамлардыр.,Refugees are people who were forced to leave their country of origin.
Оларны къачакъларгъа чевирген чокътан-чокъ себеплер арасында энъ эсасы — этник кергинлик нетиджесинде асыл олгъан конфликтлердир.,One of the major reasons why people become refugees is because of conflict resulting from ethnic tensions.
БМТнынъ Баш Ассамблеясы Къачакъларнынъ ишлери боюнджа Алий Комиссарнынъ Идаресине гражданлыгъы олмагъан шахсларнынъ меселелеринен огърашмакъ вазифесини де юкледи.,UNHCR has also been provided by the United Nations General Assembly with the responsibility of preventing statelessness.
"Малюм ки, гражданлыгъы олмагъан шахслар эр анги граждангъа менсюп укъукълардан ве имтиязлардан файдаланып оламайлар.",Statelessness means that a person is not a citizen of any country and therefore cannot make use of the rights and privileges of being a citizen.
БМТнынъ Къачакъларнынъ Ишлери боюнджа Алий Комиссарнынъ Идареси Къырымда гражданлыгъы олмагъан шахсларнынъ сайысыны эксильтюв ве гражданлыкъкъа малик олувнынъ устюнликлерини айдынлатув боюнджа тедбирлерни омюрге кечирювде Украина укюметине ярдым косьтере.,"In Crimea, UNHCR, supports the government of Ukraine in implementing procedures to prevent statelessness and highlighting the benefits of citizenship."
Къачакъларнынъ Ишлери боюнджа Алий Комиссарнынъ Идареси укюметлер ве тешкилятларнен бирликте ихтималлы конфликтлернинъ огюни алмакъ ичюн фаалиетни кенишлете.,"Together with Governments and other organizations, UNHCR develops and supports prevention activities which contribute to reducing the potential for future conflict."
"БМТнынъ Къачакъларнынъ Ишлери боюнджа Алий Комиссарнынъ Идареси ве Къачакъларнынъ Ишлери боюнджа Цания Кенъешининъ «Къырымда толерантлы тасиль» адлы лейхасы черчивесинде мезкюр дерсликлерден талебепернинъ фааль иштиракинде файдаланув толерантсызлыкъ алларынынъ сайысыны эксильтмеге ярдым этер ве, бойлеликнен, биринджи невбетте къачакъларнынъ пейда олмасыны азлаштырыр.","The use of these school books in the context of the UNHCR/DRC Tolerance Education Project in Crimea, and with the active participation of students, will assist in reducing intolerance and thus reduce the likelihood of people becoming refugees in the first place."
Толерантлы тасиль лейхасы Къыргъызыстан Джумхуриетинде де омюрге кечирильген эди.,The Tolerance Education Project is also being conducted in the Kyrgyz Republic.
 Эв музейи, Home museum
"__Османова Майе, 15 яшында, Джанкой ш.__","__Osmanova Maye, 15 years old, Junkoi city__"
"Меним адым Османова Майе, къырымтатарым, 10-нджы сыныфта окъуйым.","I’m Maye Osmanova, I’m Crimean Tatar, I’m in the 10-th form."
"Меним омюр теджрибем даа о къадар зенгин дегиль, тарихнынъ акъикъатыны, сиясетчилернинъ даваларыны даа анълап оламайым."," I have not lived wise life full of years yet, I have not caught the truth of history, have not gone deep into the discussions of politicians."
"Бу дюньягъа яваш-яваш ачылмагъа башлагъан козьлеримнен бакъып, ильк сербест адымларымны атам ве этрафта олып кечкен шейлерге мукъайтлыкънен къыймет кесмеге тырышам.","I look at this world with half-open eyes, take my first independent steps, try to estimate the present events carefully."
"«Эйикъомшуджылыкъ» деп адландырыгъан ярышта иштирак этер экеним, мен гъалип чыкъмакъ я да пара мукяфатыны алмакъны умют этмейим, ёкъ.","Taking part in the competition «Good-neighbourliness» I don’t hope to win, to get a money prize, no."
"Мен ялынъыз, достлар иле къонушув къуванчынен, миннетдарлыкъ дуйгъуларымнен, пайлашмакъ истейим.","I just want to share that feeling of gratitude, that joy of communication with friends."
"Даа да яхшы, мераметли олмакъ, этрафымдаки адамларгъа даа зияде къуванчлар кетирмек истегенимден «къанатларымнынъ» ярдымынен кокке котериледжегимни дуям.","That inspiration when one wants to be better, kinder, to bring more joy to the people he communicates with."
"Биз Къырымгъа Андижан шеэринден кочип кельгенде мен 6, Лера адлы къардашым исе — 3 яшларында эдик.",When we came to the Crimea from Andigan I was 6 and my sister Lera was 3.
"Янымызда не къартана, не къартбабамыз бар эди.",We had not neither grandmother nor grandfather near by.
Лякин руслар — Люба апте ве Аркаша агъа — бизни озь торунлары киби севе эдилер.,"They were substituted by our neighbours — Ljuba and Arkasha, they were Russians."
Олар бизни аля даа севе ве саялар.,Since those days they have given us their love and care. 
"Шу себептен, кимерде уйкенлер бутюн бизим беляларымызда рус халкъыны къабаатлап, оларнынъ джеза ве сюргюн этильмесини талап, эткенлеринде, мен акъаретленем ве къоркъам.",And it hurts and frightens me to hear when the adults blame the Russians for all our troubles demanding their punishment and deportation.
"Ана-бабамнынъ хатырлагъанларына коре, биз 1988 Джанкой шеэрине кочип кельгенде, къырымтатарларгъа нисбетен мунасебетлер пек агъыр эди.","According to my parents’ memory, in 1988 when we left for Djankoy the relations with the Crimean Tatars were very strained."
Лякин бабама достлукъ ве ярдым къолларыны узаткъан ильк адамлардан бири — украиналы Андрей эмдже олгъан.,"And Andrey, an Ukrainian, was the first who gave a hand of friendship and assistance to my father at work."
Олар бизге мусафирликке кельген акъшамлары эвде байрам ола эди.,"When he visited us with his wife Katya, we had a real holiday."
"Ира апте — аилемизнинъ буюк досту — Къурбан байрам вакътында, тутукъланып олса да гъурур иле къырымтатар тилинде: «Байрамынъыз мубарек олсун»,— деп, баба ве анамызнынъ къолларыны алгъанда, юреклеримиз джыллы дуйгъуларгъа тола эди.","How pleasant it was when Ira, a great friend of our family, came and congratulated us with Moslem holiday «Kurban bayram» in the Tatar language, kissing my mother’s and father’s hands and pronouncing the words of congratulation with great difficulty but so proudly."
Куньлернинъ биринде Украина тарихы дерсинде оджамыз къырымтатарларнынъ озь Ватанларындан сюргюн этильгени акъкъында икяе этти.,Once on the lesson of history the teacher told us about the deportation of Crimean Tatars from Crimea.
Шу сюргюнликнинъ себебини де айтты — Улу Ватан дженки йылларында къырымтатар халкъы хаинлик япкъан эмишлер.,Аnd the reasons — the betrayal of the Crimean Tatar people during the Great Patriotic War.
Бизим сынфымызда къырымтатарлардан тек мен эдим.,I was the only Crimean Tatar in our class.
"Пек утанып, сыкъылып, козьлеримден акъкъан яшларны туталмайып эвге къайттым ве экинджи куню мектепке бармагъа къоркътым.","I was ashamed and terrified,I came home in tears and I was afraid to go to school the next day."
"Анам манъа бизим уфакъ «эв музейимизни» косьтерди: бу — къартбабамнынъ дженктен кельген ве сакълы олгъан, сараргъан, эм рус, эм латын языларынен дюльбер язылгъан мектюплери эди.","And then my mother showed me our small «home museum », where the letters from the War were kept: yellow pages written in an even, fine, nice handwriting either in Russian or in Latin — my grandfather’s letters."
1954 сенесининъ сентнбрь 25-те чыкъкъан «Правда» газетасынынъ парчасыны да косьтерди.,"She showed me an article from the newspaper «Pravda» from September 25, 1954."
"Оны окъур экеним, капитан Аблялимов Сервер Аблялимович «2-нджи дереджели Ватан дженки» орден иле мукяфатлангъаныны бильдим.",«Captain Ablyalimov Server Ablyalimovitch is awarded an order of the Patriotic War Second Class » .
"1949 сенесининъ июнь 14-те язылгъан мектюпте исе «Гвардия капитаны, батальон командирининъ муавини Аблялимов Сервер Аблялимович аскерлерлик еминине садыкъ къалып ве Социалистик Ватаныны къорчалап, 1945с.март 26-да джесюрлердже эляк олды,аскерий итирамларнен дефа этильди.","And « killed in battle» notice from 14.06.1949: «Guards captain deputy battalion commander Ablyalimov Server Ablyalimovitch in battle for the Socialist Motherland, faithful to oath of allegiance, having displayed heroism and courage, was killed on 26.03.1945 and buried with military honours."
"Маджаристан», — деп язылгъан эди.","Gospodskiy Dvor, Hungary»."
"Эртеси куню мен озь халкъымнен гъурурланаракъ, эминликнен сокъакъкъа чыкътым, «хаинлер» деген сёзни эшитсем де, букюльмез эдим.","The next day I would not feel hurt with the word «traitors», I went with confidence, I was proud of my people."
Мен олып кечкен вакъианы ич бир вакъыт хатырламагъан ве мени акъаретлемеген сыныфдашларыма озь тешеккюрлеримни бильдирем.,"And how grateful I am to the pupils of my class that they had never reminded me about that, never humiliated me and never offended me with that «accusation»."
"Олар оджамызгъа бакъкъанда, ферасетли олып чыкъты.",They appeared to be wiser than the teacher.
"Уйкенлер эр шейнинъ джезасыны талап этелер, лякин бу белялар бизим — бала ве торунларнынъ башларымызгъа етеджек.","And  from the adults which demand retribution for everything but we, their children and grandchildren, will be punished."
"Бизлер исе, аксине, муаббет яшамакъ, бизим Къырымымызгъа файда кетирмек, Ватанымызны гъайрыдан тиклемек истеймиз.","And we, on the contrary, want to live in friendship,to bring only benefit to our Crimea, to revive it."
"Къырым — кечмишнинъ дегиль де, шимдики заманнынъ ве келеджекнинъ, яни бизимдир.","It belongs not to the past but to the present and future, it means that it belongs to us — children."
Къырым — аджайип ер ве шу дюльберликни зулум ве дженк иле мугъайтмакъ мумкюн дегиль.,"The Crimea is a beauty and one mustn’t darken this beauty with evil, misfortune and war."
Мен Балаларны къорчалав кунюнде «Достлукъ форумыны» кечирмекни теклиф этем.,I suggest to hold «Forum of Friendship» on the Day of Children Defence.
"Бу буюк байрамда Къырымда яшагъан чешит миллетлерге менсюп балалар озь халкъларынынъ тарихы, медениети ве яшайышлары акъкъында икяе этер, шенъленир, бири-бирлерининъ къолларыны тутып, эписи ичюн умумий олгъан бир тюркюнинъ бейитлерини чешит тиллерде йырлар эдилер.","It will be great showholiday,the children of different nationalities living in Crimea in their national costumes would tell the history, culture and customs of their peoples, dancing and singing,then they would join hands, make a big round dance, go around the city, sing the same song in different languages."
Бунъа «Кичкене Енот» мультфильмден алынгъан тебессюм акъкъындаки тюркю гъает уйгъун олур эди.,It should be a song about a smile from the cartoon film «Little Racoon».
"Бельки де, бойле этип, буюклерни бири-бирилерини севмеге ве урьмет этмеге, кечмишни хатырламамагъа, келеджекни умютнен беклемеге огретирмиз.","Maybe we would teach the adults to be friends, to love, to respect each other, not to recollect the past but to live today with hope for a better future."
" Эвелин, кель!"," Come here, Evelin!"
"__Павел Ольшанский, 8 яшында, Керчь ш.__","__Pavel Ol'shanskiy, 8 years old, Kerch city__"
Кечкен кузьде озь тувгъан шеэрим Керичте гимназиянынъ 1-нджи сынфына окъумагъа кирдим.,Last autumn I went to the first form of the gymnasia in my native city-hero Kerch.
"Бизим сыныфымызда чешит миллетлерге менсюп 30 къыз ве огълан окъуй: Автонди — гурджи, Мэри ве Марк — еудийлер, Юра — немсе, Гаяне — эрмени, Луис — испаниялы, руслар, мен — украиним.","In our class there are 30 girls and boys of different nationalities: Avtondy is Georgian, Mary and Mark are Jewish, Yura is German, Gayane is Armenian, Luis is Spanish, many are Russians, I’m Ukrainian."
Бир кунь сыныфымызгъа Эвелин деген дюльбер адлы къызчыкъ кельди.,A girl with a nice name Evelin came to our class.
Эвелин — къырымтатардыр.,Evelin is Tatar.
Оджапчемиз экимизни бир ралеге отуртты.,Our teacher offered us to sit at the same desk.
Биз достлаштыкъ. ,We became friends.
Дерслерден сонъ Эвелин иле мен бир ёлнен эвге къайтамыз.,"After the lessons we go home together,we walk on the same road."
Мен онъа чантасыны алып кетмеге ярдым этем.,I carry her bag.
Ёл бою биз бугуньки хаберлер ве ярын япаджакъ шейлеримиз акъкъында лакъырды этемиз.,On our way we are talking about the news of past and our plans for future.
"Раатлыкъ куньлерининъ биринде Эвелин мени эвлерине мусафирликке чагъырды ве озь тувгъанларынен: ана-бабасынен, къартана-къартбабасынен ве огълан къардашынен таныш этти.","Once in one the of week-ends Evelin invited me to visit her family and I met her relatives: father, mother, little brother, grandfather and grandmother."
"Биз дюльбер донатылгъан софра башында отурып, къавалтылар иле чай ичтик ве мейвалар ашадыкъ.","We were sitting at a beautiful table, drinking tea with pie and treating ourselves to fruit."
Эвелиннинъ къартана ве къартбабасындан олар къайдан кельгенлерини сорап бильдим.,"I knew from Evelin’s grandfather and grandmother ,I found out where they came from."
Бизим шеэримиз Керичке узакъта ерлешкен Орта Асиядан кочип кельген экенлер.,They had come to our Kerch from the far Middle Asia.
